year,vaccination_type,no_of_doses_in_thousands
2009,Diphtheria tetanus,48.7
2009,Poliomyelitis,92.1
2009,Measles mumps rubella,89.9
2010,Diphtheria tetanus,48.7
2010,Poliomyelitis,89.3
2010,Measles mumps rubella,86.6
2011,Diphtheria tetanus,50.8
2011,Poliomyelitis,92
2011,Measles mumps rubella,88.5
2012,Diphtheria tetanus,44.2
2012,Poliomyelitis,85.8
2012,Measles mumps rubella,41.7
2013,Diphtheria tetanus,43.2
2013,Poliomyelitis,85.9
2013,Measles mumps rubella,39.1
2014,Diphtheria tetanus,41.7
2014,Poliomyelitis,47.4
2014,Measles mumps rubella,35.7
2015,Diphtheria tetanus,41.7
2015,Poliomyelitis,45
2015,Measles mumps rubella,29.2
2016,Diphtheria tetanus,41.4
2016,Poliomyelitis,44.5
2016,Measles mumps rubella,22.3
2017,Diphtheria tetanus,43
2017,Poliomyelitis,44.4
2017,Measles mumps rubella,10.8
2018,Diphtheria tetanus,42.7
2018,Poliomyelitis,43.8
2018,Measles mumps rubella,5.7
2019,Diphtheria tetanus,44.5
2019,Poliomyelitis,44.1
2019,Measles mumps rubella,5.8
